SNname,HostName,PSN,type,redshifts,OtherName,Nobs,targetids,SNra,SNdec,AV,AVerr,AVsour,HostRa,HostDec,Long,Lat,Redshift,Morphology,host_velocity,host_vel_err,host_vel_corr,host_vel_corr_err,Discover_date,Last_non-detection_date,template_status,max_ks,filters_used,notes,Explosion_Date,ExpDateReference,ExpDateReferenceLinks,ExpDateMethod,other_SNe,best_dm,best_dm_err,best_dm_method,best_dm_ref,Hubble_dm_ref,UVM2_DatPoints,Cep_dm,Cep_dm_err,Cep_dm_ref,SBF_dm,SBF_dm_err,SBF_dm_ref,TRGB_dm,TRGB_dm_err,TRGB_dm_ref,end,Hubble_dm,Hubble_dm_err
iPTF14x,WISEA J140427.10+485556.7,,SNII,0.0478,,,,14 04 27.2648,+48 55 55.6914,0.042,0.004200000000000001,S_F_2011,14h04m27.10656s,48d55m56.7948s,94.901952,64.031918,0.047800,Extended Src [SDSS],14330.0,0.0,14752.0,15.0,,,,,,,,,,,,36.46342712935551,,,,,,,,,,,,,,,,36.46342712935551,0.3493195234020991
iPTF15akq,SDSS J150351.85+333317.2,,SNIbn,0.1093,,,,15 03 51.2976,+33 33 18.2682,0.039,0.0039000000000000003,S_F_2011,,,53.810239,60.845561,0.109300,,32767.0,0.0,33205.0,16.0,,,,,,,,,,,,38.259379583077276,,,,,,,,,,,,,,,,38.259379583077276,0.34363606935994884
iPTF15ayt,WISEA J145627.93+182225.7,,SNII,0.0457,,,,14 56 27.8183,+18 22 24.137,0.07,0.007000000000000001,S_F_2011,14h56m27.93072s,18d22m25.7664s,22.643154,59.968858,0.045703,Extended Src [SDSS],13701.0,5.0,14300.0,25.0,,,,,,,,,,,,36.3659575090021,,,,,,,,,,,,,,,,36.3659575090021,0.34997836341949246
iPTF15bxb,iPTF15bxb HOST,,SLSN-I,0.1806,,,,22 00 45.6483,+24 36 51.6406,0.186,0.018600000000000002,S_F_2011,,,80.5615028,-23.8913729,0.180600,,54143.0,0.0,54022.0,26.0,,,,,,,,,,,,39.34990775660896,,,,,,,,,,,,,,,,39.34990775660896,0.3427761589926908
iPTF15crj,2MASX J22242835+3239313,,SNII,0.0217,,,,22 24 28.4453,+32 39 32.7445,0.238,0.0238,S_F_2011,,,90.344975,-20.754724,0.021668,,6496.0,83.0,6534.0,86.0,,,,,,,,,,,,34.74542625853438,,,,,,,,,,,,,,,,34.74542625853438,0.38070135061674126
iPTF15cyk,SDSS J074214.86+203643.7,,SLSN-I,0.5388,,,,07 42 14.8389,+20 36 43.5265,0.151,0.0151,S_F_2011,,,199.416900,20.102233,0.538800,Extended Src [SDSS],161528.0,0.0,161439.0,9.0,,,,,,,,,,,,41.72343525626093,,,,,,,,,,,,,,,,41.72343525626093,0.3423341871681485
iPTF15dda,KUG 2357+324A,,SNII,0.0344,,,,23 59 52.0133,+32 46 03.6437,0.129,0.012900000000000002,S_F_2011,23h59m51.9s,32d46m03.100008s,110.560927,-28.862264,0.034400," 
Classifications            : Spiral",10313.0,0.0,10175.0,26.0,,,,,,,,,,,,35.749121266117214,,,,,,,,,,,,,,,,35.749121266117214,0.3557479151355916
iPTF15dhx,WISEA J222822.39+283858.4,,SNII,0.0921,,,,22 28 22.369,+28 38 58.6964,0.179,0.0179,S_F_2011,22h28m22.3992s,28d38m58.434s,88.613606,-24.525984,0.092100,"     
Spare 5                    :",27611.0,0.0,27489.0,27.0,,,,,,,,,,,,37.88760685718178,,,,,,,,,,,,,,,,37.88760685718178,0.3441890067937554
iPTF15dof,2MASS J23241315+3507357,,SNII,0.0972,,,,23 24 13.1451,+35 07 36.9692,0.32,0.032,S_F_2011,23h24m13.15656s,35d07m35.7528s,103.4413229,-24.4224411,0.097200,"        micron
Origin                     :",29140.0,0.0,28949.0,29.0,,,,,,,,,,,,38.00464391453865,,,,,,,,,,,,,,,,38.00464391453865,0.34399423164417053
iPTF15dum,WISEA J002505.37-041004.5,,SNIbn,0.0697,,,,00 25 05.2413,-04 10 08.1394,0.088,0.0088,S_F_2011,0h25m05.37888s,-4d10m04.5912s,106.465834,-66.193710,0.069700,,20896.0,0.0,20635.0,21.0,,,,,,,,,,,,37.28251197534369,,,,,,,,,,,,,,,,37.28251197534369,0.3456075377807161
iPTF15eov,WISEA J040541.58+285641.4,,SLSN-I,0.0536,,,,04 05 41.5686,+28 56 40.6687,1.645,0.1645,S_F_2011,4h05m41.58144s,28d56m41.4672s,166.288871,-17.141168,0.053500,"        micron
Origin                     :",16039.0,0.0,15794.0,18.0,,,,,,,,,,,,36.70808261431016,,,,,,,,,,,,,,,,36.70808261431016,0.3479103982004949
iPTF15eqq,iPTF15eqq HOST,,SNII,0.0981,,,,05 12 34.3936,+17 11 09.9172,0.716,0.0716,S_F_2011,,,185.7792704,-12.7546177,0.098100,,29410.0,0.0,29156.0,13.0,,,,,,,,,,,,38.024671299904135,,,,,,,,,,,,,,,,38.024671299904135,0.3439629449184967
iPTF15ul,WISEA J121403.76+475404.2,,SNIbn,0.065715,,,,12 14 03.7386,+47 54 03.7267,0.055,0.0055000000000000005,S_F_2011,12h14m03.76248s,47d54m04.2156s,139.811245,67.983709,0.065716,,19701.0,2.0,20048.0,14.0,,,,,,,,,,,,37.15463753240507,,,,,,,,,,,,,,,,37.15463753240507,0.34602180091540835
iPTF16asu,SDSS J125909.30+134808.8,,SNIc-BL,0.1874,,,,12 59 09.2775,+13 48 09.2128,0.086,0.0086,S_F_2011,12h59m09.3012s,13d48m08.8596s,311.013959,76.552934,0.187400,Extended Src [SDSS],56181.0,0.0,56629.0,23.0,,,,,,,,,,,,39.43014350340687,,,,,,,,,,,,,,,,39.43014350340687,0.3427407109328373
iPTF16eh,iPTF16eh HOST,,SLSN-I,0.428,,,,12 41 06.2105,+32 48 30.6673,0.046,0.0046,S_F_2011,,,143.8039729,83.8954296,0.428000,,128311.0,0.0,128643.0,15.0,,,,,,,,,,,,41.22351562582646,,,,,,,,,,,,,,,,41.22351562582646,0.34236692069402214
iPTF16eh,,,SLSN-I,,,,,'12:41:06.24,+32:48:32.4,0.046,0.0046,S_F_2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,end,,
LSQ11ot,CGCG 421-013,,Ia,0.026,,17,32235,'05:15:48.30,+06:46:39.0,0.509,0.0509,S_F_2011,5h15m47.5699s,6d46m41.3004s,195.297395,-17.721545,0.027339,Sbc,8196,2,8075,5,,,done,2,,,,,,,,35.25020592601457,0.368037199,HF,,,0,,,ref,,,ref,,,,end,35.25020592601457,0.3633764952997616
LSQ12gdj,ESO 472-G007,,Ia-SC,0.0303,,14,32627,'23:54:43.32,-25:40:34.0,0.063,0.0063,S_F_2011,23h54m45.17s,-25d40m22.3s,36.274299,-77.230547,0.030324,S...,9091,17,9011,21,,,done,4,all,,,,,,,35.47525446619318,0.364349352,HF,,,10,,,ref,,,A10,,,,end,35.47525446619318,0.3596408590520899
LSQ13crf,,,Ia,0.06,,5,33013,'03:10:50.23,+01:25:18.9,0.215,0.0215,S_F_2011,,,,,,,,,,,,,done,,w1ubv,,,,,,,,,,,,0,,,ref,,,ref,,,,end,,
LSQ13cuw,,,IIL,0.05,,3,,,,,,,,,,,,,,,,,,,done,4,all,,,,,,,,,,,,,,,ref,,,ref,,,,end,,
LSQ13ddu,,,I,0.058454,,6,,'03:58:49.2,-29:25:12,0.025,0.0025,S_F_2011,,,,,,,,,,,,,done,5,all,very blue,,,,,,,,,,,1,,,,,,,,,,end,,
LSQ13ry,,,Ia,0.029857,,5,32788,'10:32:48.00,+04:11:51.4,0.124,0.0124,S_F_2011,,,,,,,8951,26.68181666,9404,42,,,done,5,all,,,,,,,35.441553963010605,0.36505702,HF,,,1,,,ref,,,ref,,,,end,35.441553963010605,0.3603577733706563
LSQ14mo,,,SLSN-I,0.25,,15,,'10:22:41.53,-16:55:14.4,0.196,0.0196,S_F_2011,,,,,,,,,,,,,done,4,u+UV,,,,,,,,,,,,1,,,ref,,,ref,,,,end,,
LSQ14pt,,,IIn,0.059,,9,,'12:46:21.37,-20:24:49.2,0.158,0.0158,S_F_2011,,,,,,,,,,,,,GI12,2,all,,,,,,,,,,,,,,,ref,,,ref,,,,end,,
LSQ15abl,,,SLSN-II,0.1,CSS,20,33749_33755,'09:40:29.50,-04:11:32.3,0.115,0.0115,S_F_2011,,,,,,,,,,,,,none,2,all6,,,,,,,,,,,,24,,,,,,,,,,end,,
OGLE15qz,,,SLSN-I,0.63,,1,,'03:08:35.88,-70:30:41.6,0.085,0.0085,S_F_2011,,,,,,,,,,,,,,1,w2,,,,,,,,,,,,0,,,,,,,,,,end,,
OGLE15sd,,,SLSN-I,0.56,,2,34217,'01:42:21.46,-71:47:15.6,0.116,0.0116,S_F_2011,,,,,,,,,,,,,,2,u_w1,,,,,,,,,,,,0,,,,,,,,,,end,,
OGLE16dmu,,,SLSN-I,0.426,,6,,'04:48:26.34,-62:20:10.6,0.083,0.0083,S_F_2011,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,end,,
PS1-12sk,CGCG 208-042,,Ibn,0.054,,10,32325,'08:44:54.860,+42:58:16.89,0.082,0.0082,S_F_2011,8h44m56.6302s,42d58m35.6592s,178.086882,38.338753,0.054104,E0,16220,54,16352,55,,,done,3,all,Sanders_N.E.et al.2013ApJ769_39,,,,,,36.73245042674447,0.353045845,HF,,,,,,ref,,,ref,,,,end,36.73245042674447,0.34818452821508306
PS1-14xw,NGC 6240,,Ia,0.02448,,9,,'16:52:57.63,+02:23:36.5,0.204,0.0204,S_F_2011,16h52m58.861s,2d24m03.55s,20.728931,27.291066,0.02448,I0: pec;LINER  Sy2,7339,9,7942,29,,,done,8,,,,,,,SN2010gp,35.01038061586693,0.37305121,HF,,,5,,,ref,,,ref,,,,end,35.01038061586693,0.368453935225502
PS15ae,,,SLSN-I,0.11,SN2015bn_CSS141223-113342+004332,32,,,,,,,,,,,,,,,,,,,,5,223f,,,,,,,,,,,,26,,,ref,,,ref,,,,end,,
PS15aot,NGC 6166,PSNJ16283836+3932552,Ia-91bg?,0.030354,,10,33791,'16:28:38.36,+39:32:55.2,0.025,0,"Brown_walker_2020,S_F_2011",16h28m38.2447s,39d33m04.2336s,62.934718,43.692868,0.030354,cD;E;NLRG      LEG,9100,9,9581,19,,,done,2,all6,,,,,,,35.47740313897425,0.364230094,HF,,,,,,,,,,,,,end,35.47740313897425,0.359520039169709
PS15bgt,NGC 6412,PSNJ22460504-1059484,Ib-IIb,0.0089,,2,,'17:29:29.18,+75:42:39.0,0.109,0.0109,S_F_2011,17h29m37.522s,75d42m15.59s,107.231979,31.242345,0.00438,SA(s)c,1313,1,1728,18,,,done,7,,beautifulhost,,,,,,31.273519807816186,0.837039191,HF,,,0,,,,,,,,,,end,31.273519807816186,0.8350004216369957
PS15blq,,,SLSN-IIn,0.125,MASTEROTJ173142.37+435334.1,5,34084,'17:31:42.37,+43:53:34.1,0.047,0.0047,S_F_2011,,,,,,,,,,,,,done,10,223f,,,,,,,,,,,,2,,,,,,,,,,end,,
PS15br,,,SLSN-II,0.101,,14,33672,,,,,,,,,,,,,,,,,,GI13,6,223f,,,,,,,,,,,,5,,,,,,,,,,end,,
PS15ces,APMUKS(BJ) B013622.97-232246.6,,IIn,0.134,,8,,'01:38:44.68,-23:07:34.5,0.038,0.0038,S_F_2011,1h38m44.8683s,-23d07m33.6366s,195.029328,-78.574912,,,,,,,,,done,8,308f,,,,,,,,,,,,0,,,,,,,,,,end,,
PS15cku,2MASX J01242239+0335168,,Ia,0.023,,7,34123,'01:24:22.53,+03:35:15.2,0.07,0.007,S_F_2011,1h24m22.399s,3d35m16.85s,138.702681,-58.271633,0.032158,,9641,0,9406,19,,,done,3,223f,,,,,,,35.60280659167434,0.3623836,HF,,,0,,,,,,,,,,end,35.60280659167434,0.35764922838077073
PS15cwo,KUG 0308+010,,IIP,0.037,SKYS6,9,34166,'03:11:16.73,+01:11:34.5,0.273,0.0273,S_F_2011,3h11m16.636s,1d11m23.87s,178.542113,-46.03518,0.027228,Spiral,8163,10,7939,15,,,done,4,223f,,,,,,,35.24144515986589,0.368249936,HF,,,4,,,,,,,,,,end,35.24144515986589,0.363591958467121
PS15cww,,,IIn,0.063,,6,,'04:56:33.69,+04:45:26.2,0.168,0.0168,S_F_2011,,,,,,,,,,,,,done,2,30d5,,,,,,,,,,,,5,,,,,,,,,,end,,
PS15jf,,PSNJ09132750+7627410,imposter?,0.004923,,6,,'09:13:27.41,+76:27:40.9,0.06,0,"Brown_walker_2020,S_F_2011",,,,,,,1476,2,1833,16,,,done,2,all,,,,,,,31.5276279648039,0.761330811,HF,,,,,,ref,,,ref,,,,end,31.5276279648039,0.7590887303538691
PSN2014inM61,,PSNJ12215513+0428169,imp?,0.005224,,23,33001,,,,,,,,,,,,1566,2,994,34,,,done,,,,,,,,,31.65615496597841,0.726894207,HF,,,,,,ref,,,ref,,,,end,31.65615496597841,0.7245455714598468
PSNinNGC55,,PSNJ00150875-3912501,imposter?,0.00043,,6,,,,,,,,,,,,,129,2.1,107,3,,,UVdone,3,all,http://www.astronomerstelegram.org/?read=6548,,,,,,26.23514472886503,7.760137305,HF,,,,,,ref,,,ref,,,,end,26.23514472886503,7.759917659809973
PSNJ09100885+5003396,,PSNJ09100885+5003396,Ia-SC,0.026,,9,34161,,,,,,,,,,,,10328,30,10532,32,,,done,2,223f,ATEL8263,,,,,,35.75227732366061,0.36076187,HF,,,,,,,,,,,,,end,35.75227732366061,0.35600593226260363
PSNJ23374322-4730393,,PSNJ23374322-4730393,Ia,0.011014,MASTER J233743.22-473039.3,8,,,,,,,,,,,,,3302,25,3375,30,,,done,3,all6,,,,,,,33.276081522002656,0.462290489,HF,,,,,,,,,,,,,end,33.276081522002656,0.4585886975324479
PTF09atu,,,SLSN-I,0.501,Rashmi,1,,'16:30:24.55,+23:38:25.0,0.128,0.0128,S_F_2011,,,,,,,,,,,,,done,5,u+UV,,,,,,,,,,,,0,,,ref,,,ref,,,,end,,
PTF09cnd,,,SLSN-I,0.258,Kiran,8,,'16:12:08.94,+51:29:16.1,0.065,0.0065,S_F_2011,,,,,,,,,,,,,done,4,u+UV,check if in fillin,,,,,,,,,,,8,,,ref,,,ref,,,,end,,
PTF09dh,PTF09dh HOST,,Ia,0.199,,,,221.175308,49.729149,1.328,0.1328,S_F_2011,,,86.774158,58.690132,0.100000,,29979.0,0.0,30328.0,14.0,,,,,,,,,,,,38.066281888021294,,,,,,,,,,,,,,,,38.066281888021294,0.3438997485402465
PTF09dlc,GALEXASC J214630.04+062506.6,,Ia,0.068,,,,21 46 30.10,06 25 09.2,0.145,0.014499999999999999,S_F_2011,,,62.847361,-34.109807,0.067370,"     
Spare 5                    :",20197.0,15.0,20171.0,24.0,,,,,,,,,,,,37.208630504749415,,,,,,,,,,,,,,,,37.208630504749415,0.34586070387025636
PTF09dlc,,,Ia,0.07,,1,,'21:46:30.00,+06:25:06.9,0.145,0.0145,S_F_2011,,,,,,,,,,,,,done,4,,,,,,,,,,,,,0,,,ref,,,ref,,,,end,,
PTF09dnl,SDSS J172341.69+302950.9,,Ia,0.019,,,,17 23 41.79,30 29 49.6,0.115,0.011500000000000002,S_F_2011,,,53.812048,31.190600,0.023380,,7009.0,18.0,7501.0,25.0,,,,,,,,,,,,34.91047647728651,,,,,,,,,,,,,,,,34.91047647728651,0.37104586883331114
PTF09dnp,WISEA J151925.36+493004.8,,Ia,0.037,,,,15 19 24.37,49 29 56.3,0.05,0.005000000000000001,S_F_2011,15h19m25.36224s,49d30m04.8888s,81.337188,53.936329,0.037304,S0^-,11183.0,3.0,11621.0,16.0,,,,,,,,,,,,35.92498780186119,,,,,,,,,,,,,,,,35.92498780186119,0.35376879795052707
PTF09dnp,,,Ia,0.04,,1,,'15:19:25.360,+49:30:04.83,0.05,0.005,S_F_2011,,,,,,,,,,,,,done,4,,,,,,,,,,,,,2,,,ref,,,ref,,,,end,,
PTF10aagc,SDSS J093956.91+214317.1,,SLSN-I,0.206,,,,09 39 56.9317,+21 43 16.8355,0.07,0.007000000000000001,S_F_2011,9h39m56.91768s,21d43m17.1444s,209.176025,46.332485,0.206000,Extended Src [SDSS],61757.0,0.0,61910.0,14.0,,,,,,,,,,,,39.63562713189169,,,,,,,,,,,,,,,,39.63562713189169,0.3426610069501509
PTF10aagc,,,SLSN-I,0.206,,1,,'09:39:56.923,+21:43:17.09,0.07,0.007,S_F_2011,,,,,,,,,,,,,skip,,,,,,,,,,,,,,1,,,,,,,,,,end,,
PTF10abyy,WISEA J051639.83+064740.8,,SNII,0.0304,,,,05 16 40.5337,+06 47 53.7432,0.46,0.046000000000000006,S_F_2011,5h16m39.83064s,6d47m40.8264s,195.400405,-17.528644,0.030400,"     
Spare 5                    :",9114.0,0.0,8981.0,5.0,,,,,,,,,,,,35.48074129860093,,,,,,,,,,,,,,,,35.48074129860093,0.35943446432830517
PTF10abyy,,,II,0.0297,,7,31895,'05:16:40.52,+06:47:53.8,0.46,0.046,S_F_2011,,,,,,,,,,,,,done,4,30d5,GALEXspectra,,,,,,,,,,,,,,,,,,,,,end,,
PTF10bjs,MCG +09-21-083,,Ia,0.0296,,,,195.296789,53.81592,3.396,0.3396,S_F_2011,13h01m11.3724816s,53d48m40.079556s,119.732455,63.256564,0.030014,Sb,8998.0,2.0,9413.0,15.0,,,,,,,,,,,,35.452926121516526,,,,,,,,,,,,,,,,35.452926121516526,0.3598704929160311
PTF10fps,NGC 5177,,Ia,0.022,,,,13 29 25.06,11 47 46.5,0.08,0.0,"Brown_walker_2020,S_F_2011",13h29m24.2798256s,11d47m49.36956s,334.935632,72.267083,0.021551,S0,6461.0,3.0,7112.0,36.0,,,,,,,,,,,,34.73369488256963,,,,,,,,,,,,,,,,34.73369488256963,0.375652762817626
PTF10gbq,none within 1 arcminute,,Ia,0.1,,,,248.93154,58.74761,0.156,0.015600000000000001,S_F_2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTF10gva,WISEA J122355.40+103449.5,,SNII,0.02751,,,,12 23 55.4056,+10 34 50.3803,0.082,0.0082,S_F_2011,12h23m55.401096s,10d34m49.59444s,280.242629,72.229058,0.027506,,8246.0,3.0,8841.0,35.0,,,,,,,,,,,,35.26341282969548,,,,,,,,,,,,,,,,35.26341282969548,0.36313126220327024
PTF10icb,CGCG 293-042,,Ia,0.0086,,,,12 54 49.21,58 52 54.7,0.025,0.0,"Brown_walker_2020,S_F_2011",,,122.099341,58.240536,0.008560,,2566.0,2.0,3044.0,19.0,,,,,,,,,,,,32.72847943756334,,,,,,,,,,,,,,,,32.72847943756334,0.5186951878340987
PTF10icb,MCG +10-19-01,,Ia,0.008606,,15,31734,'12:54:49.16,+58:52:55.1,0.025,0,"Brown_walker_2020,S_F_2011",12h54m49.706s,58d52m56.46s,122.099341,58.240536,0.008606,,2580,21,3058,28,,,done,6,,Milne  P. et al. 2013  arXiv:1308.2703,,,,,,32.74029470718494,0.521968321,HF,,,7,,,ref,,,ref,,,,end,32.74029470718494,0.5186926119931595
PTF10mwb,WISEA J171750.10+405252.4,,Ia,0.03,,,,17 17 49.97,40 52 52.1,0.082,0.0082,S_F_2011,17h17m50.05776s,40d52m52.5792s,65.638021,34.450002,0.031360,Extended Src [SDSS],9401.0,18.0,9829.0,24.0,,,,,,,,,,,,35.54806644078365,,,,,,,,,,,,,,,,35.54806644078365,0.3585539712293832
PTF10qaf,,,SLSN-II,0.2836,,0,,'23:35.7,+10:47,0.215,0.0215,S_F_2011,,,,,,,,,,,,,late,,,,,,,,,,,,,,0,,,,,,,,,,end,,
PTF10qts,SDSS J164137.53+285820.3,,SNIc-BL,0.0912,,,,16 41 37.6049,+28 58 21.171,0.078,0.0078000000000000005,S_F_2011,16h41m37.5310008s,28d58m20.330004s,49.314895,39.693645,0.091200,Extended Src [SDSS],27341.0,0.0,27757.0,14.0,,,,,,,,,,,,37.86626815181596,,,,,,,,,,,,,,,,37.86626815181596,0.3442268252116292
PTF10qts,,,Ic-BL,0.0907,,1,31795,'16:41:37.60,+28:58:21.1,0.078,0.0078,S_F_2011,,,,,,,,,,,,,skip,5,u+UV,,MJD 55424.6,Walker_etal_2014,https://ui.adsabs.harvard.edu/abs/2014MNRAS.442.2768W/abstract,,,,,,,,,,,ref,,,ref,,,,end,,
PTF10vzt,SDSS J032704.58-063542.4,,Ia,0.145,,,,51.769133,-6.595029,0.16,0.016,S_F_2011,3h27m04.5864s,-6d35m42.4752s,191.076948,-47.758770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTF10xfh,UGC 01398,,SNIb,0.017399,,,,01 55 58.183,+37 07 59.7011,0.237,0.0237,S_F_2011,1h55m58.48403301s,37d07m45.94247652s,136.964739,-23.977443,0.017399,SAc:,5216.0,7.0,5108.0,22.0,,,,,,,,,,,,34.26888409098811,,,,,,,,,,,,,,,,34.26888409098811,0.392371133029289
PTF10xlr,SDSS J230922.92+010002.0,,SNII,0.01535,,,,23 09 22.7339,+01 00 03.1198,0.114,0.0114,S_F_2011,23h09m22.92744s,1d00m02.0232s,77.686702,-52.665796,0.015335,,4597.0,1.0,4598.0,16.0,,,,,,,,,,,,33.99456869612033,,,,,,,,,,,,,,,,33.99456869612033,0.40555669575163084
PTF10ygu,NGC 2929,,Ia,0.025047,,,,09 37 30.29,23 09 33.0,0.081,0.008100000000000001,S_F_2011,9h37m29.7949992s,23d09m42.149988s,206.946184,46.195045,0.025024,S?,7502.0,3.0,7834.0,21.0,,,,,,,,,,,,35.05808147644231,,,,,,,,,,,,,,,,35.05808147644231,0.3673236538797625
PTF11dsf,SDSS J161133.54+401803.1,,SLSN-IIn,0.385,,,,16 11 33.5323,+40 18 03.7109,0.027,0.0027,S_F_2011,16h11m33.54624s,40d18m03.1788s,64.007720,46.966393,0.385000,Extended Src [SDSS],115420.0,0.0,115727.0,13.0,,,,,,,,,,,,40.993601527232,,,,,,,,,,,,,,,,40.993601527232,0.342387841210322
PTF11dsf,,,SLSN-II,0.3848,,1,32016,'16:11:33.55,+40:18:03.5,0.027,0.0027,S_F_2011,,,,,,,,,,,,,skip,4,,,,,,,,,,,,,1,,,,,,,,,,end,,
PTF11hzx,WISEA J215041.82+180631.2,,Ia,0.2287,,,,327.671537,18.109546,0.093,0.009300000000000001,S_F_2011,21h50m41.827536s,18d06m31.27356s,73.736502,-27.031431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTF11iqb,NGC 0151,,SNII,0.01245,,,,00 34 04.8503,-09 42 17.8751,0.086,0.0086,S_F_2011,0h34m02.7914544s,-9d42m18.979488s,108.860430,-72.100326,0.012450,SB(r)bc,3732.0,2.0,3665.0,13.0,,,,,,,,,,,,33.5419043527411,,,,,,,,,,,,,,,,33.5419043527411,0.4346956098718691
PTF11iqb,NGC 151,,IIn,0.012499,,15,32041,'00:34:04.84,-09:42:17.9,0.086,0.0086,S_F_2011,0h34m02.7918s,-9d42m18.9821s,108.86043,-72.100326,0.012499,SB(r)bc,3747,5,3680,14,,,done,5,u UV,,,,,,,33.55061464283777,0.437987229,HF,,,11,,,ref,,,ref,,,,end,33.55061464283777,0.4340782302229664
PTF11okh,NGC 7485,,Ia,0.019,,,,346.511728,34.110027,0.04,0.004,S_F_2011,23h06m04.8559992s,34d06m27.653004s,99.2453281,-23.8723497,0.019120,S0,5732.0,18.0,5732.0,29.0,,,,,,,,,,,,34.47372708599532,,,,,,,,,,,,,,,,34.47372708599532,0.3844956497317706
PTF11qax,2MFGC 17784,,SNII,0.02187,,,,23 42 25.5711,+00 15 17.0975,0.072,0.0072,S_F_2011,23h42m26.03232s,0d15m21.5748s,88.918673,-57.984611,0.021869,Sc(f),6556.0,1.0,6470.0,17.0,,,,,,,,,,,,34.765390901861096,,,,,,,,,,,,,,,,34.765390901861096,0.37472786271866704
PTF11qax,,,II,0.021854,,5,32167,'23:42:25.584,+00:15:16.83,0.072,0.0072,S_F_2011,,,,,,,,,,,,,done,1,all,closestgalaxyusedforredshift,,,,,,,,,,,5,,,,,,,,,,end,,
PTF11qcj,SDSS J131341.57+471757.2,,SNIc-BL,0.028,,,,13 13 41.4895,+47 17 56.9134,0.029,0.0029000000000000002,S_F_2011,13h13m41.5780008s,47d17m57.21s,112.180495,69.361807,0.028084,,8419.0,2.0,8888.0,18.0,,,,,,,,,,,,35.30849872496596,,,,,,,,,,,,,,,,35.30849872496596,0.362304042365664
PTF11qcj,,,Ic-BL,0.0287,,8,32191,'13:13:41.51,+47:17:57.0,0.029,0.0029,S_F_2011,,,,,,,8426,10,8895,21,,,done,5,all,Corsi et al. 2014,MJD 55842,Palliyaguru_etal_2021,https://ui.adsabs.harvard.edu/abs/2021arXiv210100128P/abstract,,,35.31030345132293,0.366992496,HF,Palliyaguru_etal_2021,,,,,ref,,,ref,,,,end,35.31030345132293,0.36231835313473304
PTF11qiq,,,SNIb,0.0316,,,,'02:46:53.76,+38:56:45.6,0.202,0.020200000000000003,S_F_2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTF11qnf,UGC 03344,,SNIIn,0.014283,,,,05 44 54.2884,+69 09 06.5596,0.323,0.0323,S_F_2011,5h44m56.6334168s,69d09m33.60978s,144.147939,19.607172,0.014283,SABbc,4282.0,6.0,4424.0,15.0,,,,,,,,,,,,33.84042949216088,,,,,,,,,,,,,,,,33.84042949216088,0.4144181359769487
PTF11rfh,SDSS J223549.65-002226.2,,SNIbn,0.0594,,,,22 35 49.6201,-00 22 25.378,0.139,0.013900000000000003,S_F_2011,22h35m49.6583856s,-0d22m26.3208s,66.678584,-47.871175,0.059400,,17808.0,0.0,17711.0,19.0,,,,,,,,,,,,36.93527191232195,,,,,,,,,,,,,,,,36.93527191232195,0.34685400502573505
PTF11rkm,PTF11rkm HOST,,SNIIb,0.0645,,,,13 28 31.3328,+41 57 35.9917,0.039,0.0039000000000000003,S_F_2011,,,98.2273661,73.3426781,0.064500,,19337.0,0.0,19766.0,16.0,,,,,,,,,,,,37.114141663511376,,,,,,,,,,,,,,,,37.114141663511376,0.3461628817133539
PTF11rks,,,SLSN-I,0.1924,,5,32237,,,,,,,,,,,,,,,,,,heregoingupiswhereistopped,5,,,,,,,,,,,,,5,,,,,,,,,,end,,
PTF11ya,UGC 02985,,Ia,0.013356,,,,63.39125,27.543462,0.12,0.012,S_F_2011,4h13m33.5359992s,27d32m29.590008s,168.607238,-16.904242,0.013106,Scd:,3929.0,9.0,3858.0,13.0,,,,,,,,,,,,33.653606321427816,,,,,,,,,,,,,,,,33.653606321427816,0.42669052103050337
PTF12as,WISEA J100133.77+002655.7,,SNIc-BL,0.03321,,,,10 01 34.0665,+00 26 58.9016,0.067,0.006700000000000001,S_F_2011,10h01m33.77412s,0d26m55.7034s,238.936929,41.303356,0.033208,,9956.0,2.0,10349.0,31.0,,,,,,,,,,,,35.672620617051564,,,,,,,,,,,,,,,,35.672620617051564,0.3567127161023862
PTF12csy,PTF12csy HOST,,SNIIn,0.0687,,,,06 58 32.7551,+17 15 43.8934,0.19,0.019000000000000003,S_F_2011,,,198.2219982,9.3035861,0.068700,,20596.0,0.0,20534.0,7.0,,,,,,,,,,,,37.25111059314477,,,,,,,,,,,,,,,,37.25111059314477,0.34570474964285336
PTF12dam,WISEA J142446.22+461349.0,,SLSN-I,0.107,,,,14 24 46.1902,+46 13 48.8856,0.032,0.0032,S_F_2011,14h24m46.2146208s,46d13m48.492336s,85.117732,63.455612,0.107000,Extended Src [SDSS],32078.0,0.0,32445.0,14.0,,,,,,,,,,,,38.213232592630064,,,,,,,,,,,,,,,,38.213232592630064,0.34369490518830215
