SNname,HostName,PSN,type,redshifts,OtherName,Nobs,targetids,SNra,SNdec,AV,AVerr,AVsour,HostRa,HostDec,Long,Lat,Redshift,Morphology,host_velocity,host_vel_err,host_vel_corr,host_vel_corr_err,Discover_date,Last_non-detection_date,template_status,max_ks,filters_used,notes,Explosion_Date,ExpDateReference,ExpDateReferenceLinks,ExpDateMethod,other_SNe,best_dm,best_dm_err,best_dm_method,best_dm_ref,Hubble_dm,Hubble_dm_err,Hubble_dm_ref,UVM2_DatPoints,Cep_dm,Cep_dm_err,Cep_dm_ref,SBF_dm,SBF_dm_err,SBF_dm_ref,TRGB_dm,TRGB_dm_err,TRGB_dm_ref,end
SN2005am,NGC 2811,,Ia,0.0079,,76,,'09:16:12.47,-16:18:16.0,0.12,0,"Brown_walker_2020,S_F_2011",9h16m11.1s,-16d18m45.78s,246.208346,22.100788,0.007899,SB(rs)a,2368,29,2531,39,'2005-02-22,,done,5,,Brown et al. 2005  ApJ  635  1192,,,,,,32.58524601,0.550134322,HF,,32.58524601,0.550134322,,29,,,ref,,,reference,,,,end
SN2005bc,NGC 5698,,Ia,0.01227,,1,,'14:37:15.12,+38:27:23.04,0.028,0.0028,S_F_2011,14h37m14.6986s,38d27m15.3724s,66.760574,65.170563,0.012272,SBb            HII,3679,6,4258,24,'2005-04-02,,skip,3,,,,,,,,33.54198646,0.441035224,HF,,33.54198646,0.441035224,,,,,ref,,,ref,,,,end
SN2005bf,MCG +00-27-05,,Ib,0.01891,,1,,'10:23:56.99,-03:11:29.3,0.12,0.012,S_F_2011,10h23m56.492s,-3d10m55.36s,247.550941,43.278288,0.018913,SB(r)b,5670,8,6138,38,'2005-04-05,,skip,23,,,"JD 2,453,459.5",Anupama_etal_2005,https://ui.adsabs.harvard.edu/abs/2005ApJ...631L.125A/abstract,,,34.48125281,0.389510338,HF     ,Anupama_etal_2005       ,34.48125281,0.389510338,,,,,ref                     ,,,ref,,,,end      
SN2005cf,MCG -01-39-03,,Ia,0.00646,,60,,'15:21:33.12,-07:26:57.1,0.263,0.0263,S_F_2011,15h21m33.377s,-7d26m51.65s,354.813636,39.846856,0.006461,S0 pec,1937,19,2378,23,'2005-05-28,,done,5,,Wang  X.  et al. 2009  ApJ  697  380,,,,,,32.261,0.104,Cepheid,Cepheids_Riess_etal_2016,32.14898562,0.624095664,,7,32.261,0.104,Cepheids_Riess_etal_2016,,,,,,,end
SN2005cs,NGC 5194,,II,0.00154,,38,,'13:29:53.37,+47:10:28.2,0.05,0,"Brown_walker_2020,S_F_2011",13h29m52.698s,47d11m42.93s,104.8513511,68.5608401,0.001544,SA(s)bc pec;HIISy2.5,463,3,666,8,'2005-06-28,,done,13,,Brown  P. J.  et al. 2007  ApJ  659  1488,JD = 2453549,Pastorello_etal_2006,https://ui.adsabs.harvard.edu/abs/2006MNRAS.370.1752P/abstract,,,29.04124247,2.187799455,HF,Pastorello_etal_2006,29.04124247,2.187799455,,9,,,ref,,,SBF_29.42_0.27,,,,end
SN2005da,UGC 11301,,Ic-bl,0.01501,,2,,'18:37:46.89,+17:32:35.3,0.774,0.0774,S_F_2011,18h37m54.4713s,17d32m02.0535s,47.222882,10.803876,0.01501,Sc,4500,3,4954,18,'2005-07-18,,done,30,,,x,,,,,33.97940009,0.412258534,HF,,33.97940009,0.412258534,,0,,,ref,,,ref,,,,end
SN2005df,NGC 1559,,Ia,0.00435,,26,,'04:17:37.85,-62:46:09.5,0.08,0.008,S_F_2011,4h17m35.7501s,-62d47m01.2251s,274.510535,-41.198137,0.00435,SB(s)cd,1304,4,1189,15,'2005-08-04,,done,5,,Brown  P. J.  et al. 2009  AJ  137  4517,,,,,,31.28972547,0.841955992,HF,,31.28972547,0.841955992,,15,,,ref,,,,,,,end
SN2005ek,UGC 2526,,Ic,0.016551,,9,,'03:05:48.96,+36:46:10.6,0.558,0.0558,S_F_2011,3h05m43.347s,36d47m10.15s,150.809173,-18.712641,0.016551,Sb,4962,5,4858,18,'2005-09-24,,done,3,,Drout  M. R. et al. 2013  ApJ  774  58,MJD 53639.9,Drout_etal_2013,https://ui.adsabs.harvard.edu/abs/2013ApJ...774...58D/abstract,,,34.19162132,0.401501754,HF,Drout_etal_2013,34.19162132,0.401501754,,0,,,ref,,,ref,,,,end
SN2005gj,SDSS J030111.99-003313.5,,Ia-CSM,0.062,,1,,'03:01:11.96,-00:33:13.9,0.327,0.0327,S_F_2011,3h01m12.0118s,-0d33m13.464s,177.887746,-49.066991,0.06,Candidate      QSO,18467,150,18150,151,'2005-09-26,,done,5,,,,,,,,37.04531926,0.353758362,HF,,37.04531926,0.353758362,,1,,,ref,,,ref,,,,end
SN2005hk,UGC 272,,Ia-02cx,0.01299,,17,,'00:27:50.89,-01:11:53.3,0.061,0.0061,S_F_2011,0h27m49.691s,-1d11m59.49s,109.629438,-63.460332,0.012993,SAB(s)d:,3895,12,3821,19,'2005-10-30,,done,5,,Phillips  M. et al. 2007  PASP  119  360,53685.1-15.0,Phillips_etal_2007,,,,33.66587483,0.43210611,HF,Phillips_etal_2007,33.66587483,0.43210611,,4,,,ref,,,,,,,end
SN2005ip,NGC 2906,,IIn,0.007138,,3,,'09:32:06.42,+08:26:44.4,0.126,0.0126,S_F_2011,9h32m06.247s,8d26m30.86s,224.903211,39.403151,0.007138,Scd:,2140,6,2444,26,'2005-11-05,,done,,,Stritzinger  M. et al.  2012  ApJ  756  173,2005 October 27.2,Katsuda_etal_2014,https://ui.adsabs.harvard.edu/abs/2014ApJ...780..184K/abstract,,,32.36540638,0.582339658,HF,Katsuda_etal_2014,32.36540638,0.582339658,,,,,ref,,,ref,,,,end
SN2005kd,PGC 14370,,IIn,0.01504,,1,,'04:03:16.88,+71:43:18.9,0.692,0.0692,S_F_2011,4h03m16.756s,71d43m12.47s,136.838208,14.243596,0.01504,SB(s)c: pec,4509,11,4621,20,'2005-11-12,,done,redo?,,Pritchard  T. A.  et al. 2013  arXiv1303.1190,2005-Nov-10,Dwarkadas_etal_2016,https://ui.adsabs.harvard.edu/abs/2016MNRAS.462.1101D/abstract,,,33.98373869,0.41218665,HF,Dwarkadas_etal_2016,33.98373869,0.41218665,,1,,,ref,,,ref,,,,end
SN2005ke,NGC 1371,,Ia-91bg,0.00488,,35,,'03:35:04.35,-24:56:38.8,0.05,0,"Brown_walker_2020,S_F_2011",3h35m01.351s,-24d55m59.19s,218.954377,-53.3469662,0.00488,(R')SAB(r'l)a,1463,2,1395,9,'2005-11-13,,done,34,,Immler et al. 2006  ApJL  648  119,53685.77,Brown_etal_2012,,,,30.91,0.31,SBF,SBF-0.16_Tonry_etal_2001,31.53955915,0.766693649,,23,,,ref,30.91,0.31,SBF-0.16_Tonry_etal_2001,,,,end
SN2005mz,NGC 1275,,Ia-91bg,0.01756,,3,,'03:19:49.88,+41:30:18.6,0.436,0.0436,S_F_2011,3h19m48.1598s,41d30m42.1142s,150.5758382,-13.2611457,0.017559,cD;pec;NLRG;Sy2;LEG,5264,11,5176,21,'2005-12-31,,done,6,,Milne  P. A.  et al. 2010  ApJ  721  1627,,,,,,34.31991692,0.39593041,HF,,34.31991692,0.39593041,,0,,,ref,,,ref,,,,end
SN2006aj,A032139+1652,,Ic-bl,0.033,GRB060218,52,,'03:21:39.670,+16:52:02.27,0.391,0.0391,S_F_2011,,,,,,,9923,210,9682,210,'2006-02-18,,done,61,,Campana  S.  et al. 2006  Nature  442  1008,53784.1,Campana_etal_2006,,GRB trigger time,,35.69655247,0.376717182,HF,Campana_etal_2006,35.69655247,0.376717182,,40,,,ref,,,ref,,,,end
SN2006at,A131241+6316,,II,0.01,,18,,'13:12:41.11,+63:16:45.4,0.042,0.0042,S_F_2011,,,,,,,,,,,'2006-03-08,,done,5,,Brown  P. J.  et al. 2009  AJ  137  4517,x,,,,,,,,,,,,6,,,ref,,,ref,,,,end
SN2006bc,NGC 2397,,II,0.00455,,9,,'07:21:16.50,-68:59:57.3,0.55,0.055,S_F_2011,7h21m19.8919s,-69d00m05.014s,280.298233,-22.595117,0.004546,SAB(rs)b,1363,10,1208,20,'2006-03-24,,done,5,,Brown  P. J.  et al. 2009  AJ  137  4517,JD = 2453819.15,Gallager_etal_2012,https://ui.adsabs.harvard.edu/abs/2012ApJ...753..109G/abstract,,,31.3858168,0.81252017,HF,Gallager_etal_2012,31.3858168,0.81252017,,4,,,ref,,,ref,,,,end
SN2006bp,NGC 3953,,IIP,0.00351,,35,,'11:53:55.74,+52:21:09.4,0.06,0,"Brown_walker_2020,S_F_2011",11h53m49.0088s,52d19m36.4738s,142.21798,62.59025,0.00351,SB(r)bc    HII/LINER,1052,2,1527,22,'2006-04-09,,done,2,,Immler  S.  et al.  2007  ApJ  664  435,2006 April 9,Immler_etal_2007,https://ui.adsabs.harvard.edu/abs/2007ApJ...664..435I/abstract,,,30.82341622,1.012046247,HF,Immler_etal_2007,30.82341622,1.012046247,,12,,,ref,,,ref,,,,end
SN2006bv,UGC 7848,,IIn,0.00838,,13,,'12:41:01.55,+63:31:11.6,0.035,0,"Brown_walker_2020,S_F_2011",12h40m57.433s,63d31m11.3s,124.899402,53.568689,0.008382,SABcd,2513,14,2964,23,'2006-04-28,,done,5,,,x,,,,,32.71429996,0.528855435,HF,,32.71429996,0.528855435,,0,,,ref,,,ref,,,,end
SN2006dd,NGC 1316,,Ia,0.00587,,23,,'03:22:41.64,-37:12:13.2,0.056,0.0056,S_F_2011,3h22m41.789s,-37d12m29.52s,240.162919,-56.690021,0.005871,  (R')SAB(s)0^0  LINER,1760,10,1694,16,'2006-06-19,,done,6,,Brown  P. J.  et al. 2009  AJ  137  4517,,,,,,31.94090086,0.666484003,HF,,31.94090086,0.666484003,,10,,,ref,,,ref,,,,end
SN2006dm,MCG -01-60-21,,Ia,0.02202,,19,,'23:41:47.84,-03:40:08.4,0.104,0.0104,S_F_2011,23h41m47.285s,-3d40m01.9s,84.568022,-61.238609,0.022019,Sc       poss. LINER,6601,16,6519,23,'2006-07-03,,done,12,,Brown  P. J.  et al. 2009  AJ  137  4517,,,,,,34.81138618,0.379025114,HF,,34.81138618,0.379025114,,4,,,ref,,,ref,,,,end
SN2006dn,UGC 12188,,Ib,0.017179,,2,,'22:47:37.84,+39:52:46.8,0.303,0.0303,S_F_2011,22h47m37.39s,39d52m44.82s,98.54962,-17.05699,0.017179,0.7,5150,36,5198,42,'2006-07-05,,skip,6,,,,,,,,34.27237366,0.399360379,HF,,34.27237366,0.399360379,,2,,,ref,,,ref,,,,end
SN2006E,NGC 5338,,Ia,0.00272,,11,,'13:53:28.65,+05:12:22.8,0.072,0.0072,S_F_2011,13h53m26.5501s,5d12m27.9527s,339.652771,63.568001,0.002722,SB0:           HII,816,9,754,10,'2006-01-12,,done,5,,Brown  P. J.  et al. 2009  AJ  137  4517,,,,,,30.54,0.3,SBF,SBF_Tonry_etal_2001,30.27178831,1.274923798,,4,,,ref,30.54,0.3,SBF_Tonry_etal_2001,,,,end
SN2006ej,NGC 191,,Ia,0.02045,,2,,'00:38:59.77,-09:00:56.6,0.094,0.0094,S_F_2011,0h38m59.438s,-9d00m09.2806s,113.132913,-71.63717,0.020267,SAB(rs)c: pec,6076,32,5949,35,'2006-08-23,,done,5,,Brown  P. J.  et al. 2009  AJ  137  4517,,,,,,34.63142634,0.385154419,HF,,34.63142634,0.385154419,,6,,,ref,,,ref,,,,end
SN2006gy,NGC 1260,,IIn,0.01919,,1,,'03:17:27.06,+41:24:19.5,0.427,0.0427,S_F_2011,3h17m27.2294s,41d24m18.4905s,150.2574349,-13.5913773,0.01919,S0/a: sp,5753,14,5651,23,'2006-09-18,,done,6,,,2002 November 3,Kawabata_etal_2009,https://ui.adsabs.harvard.edu/abs/2009ApJ...697..747K/abstract,,,34.51280939,0.388491354,HF,Kawabata_etal_2009,34.51280939,0.388491354,,0,,,ref,,,ref,,,,end
SN2006jc,UGC 4904,,Ibn,0.00557,,58,,'09:17:20.78,+41:54:32.7,0.054,0.0054,S_F_2011,9h17m21.709s,41d54m38.92s,179.6530141,44.2974467,0.005571,SB,1670,4,2029,19,'2006-10-09,,done,4,,Immler  S.  et al. 2008  ApJL  674  85,54018,Nakana_etal_2006,,,,31.82691987,0.692294017,HF,Nakana_etal_2006,31.82691987,0.692294017,,20,,,ref,,,ref,,,,end
SN2006jd,UGC 4179,,IIb/IIn,0.018556,,13,,'08:02:07.43,+00:48:31.5,0.14,0,"Brown_walker_2020,S_F_2011",8h02m05.9609s,0d48m32.742s,220.452601,16.05031,0.018556,SBb,5563,7,5764,23,'2006-10-12,,done,3,,Stritzinger  M. et al.  2012  ApJ  756  173,2006October 06.5 UT,Chandra_etal_2012,https://ui.adsabs.harvard.edu/abs/2012ApJ...755..110C/abstract,,,34.43988282,0.391045007,HF,Chandra_etal_2012,34.43988282,0.391045007,,10,,,ref,,,ref,,,,end
SN2006lc,SDSS J24424.36-000943.4,,Ib,0.01623,,2,,'22:44:24.48,-00:09:53.5,0.173,0.0173,S_F_2011,,,,,,,4865,5.096438255,4898,17,'2006-10-21,,done,5,,,x,,,,,34.14875174,0.403536177,HF,,34.14875174,0.403536177,,0,,,ref,,,ref,,,,end
SN2006lt,A021659+3041,,Ib,0.015,,2,,'02:16:59.89,+30:41:57.4,0.274,0.0274,S_F_2011,,,,,,,,,,,'2006-10-11,,done,5,,,,,,,,,,,,,,,,,,ref,,,ref,,,,end
SN2006mr,NGC 1316,,Ia,0.00587,,15,,'03:22:42.84,-37:12:28.5,0.056,0.0056,S_F_2011,3h22m41.789s,-37d12m29.52s,240.162919,-56.690021,0.005871,(R')SAB(s)0^0  LINER,1760,10,1694,16,'2006-11-05,,done,10,,Brown  P. J.  et al. 2009  AJ  137  4517,,,,,,31.606,0.065,SBF,SBF_B09?,31.94090086,0.666484003,,2,,,ref,31.606,0.065,SBF_B09?,,,,end
SN2006T,NGC 3054,,IIb,0.00809,,2,,'09:54:30.21,-25:42:29.3,0.202,0.0202,S_F_2011,9h54m28.605s,-25d42m12.37s,260.194438,22.132492,0.008091,SAB(r)bc       HII?,2426,7,2512,27,'2006-01-30,,skip,4,,,JD = 2453758.14,Taddia_etal_2018,https://ui.adsabs.harvard.edu/abs/2018A%26A...609A.136T/abstract,,,32.6377915,0.53914859,HF,Taddia_etal_2018,32.6377915,0.53914859,,0,,,ref,,,ref,,,,end
SN2006X,NGC 4321,,Ia,0.00524,,22,,'12:22:53.93,+15:48:32.0,0.07,0.007,S_F_2011,12h22m54.9319s,15d49m20.2943s,271.13643,76.898288,0.00524,SAB(s)bc;LINER HII,1571,1,1026,37,'2006-02-04,,done,4,,Brown  P. J.  et al. 2009  AJ  137  4517,,,,,,31.19,0.1,Cepheid,Cepheids,31.69421844,0.725088309,,0,31.19,0.1,Cepheids,,,ref,,,,end
SN2007aa,NGC 4030,,II,0.004887,,7,,'12:00:27.69,-01:04:51.6,0.071,0.0071,S_F_2011,12h00m23.6122s,-1d06m00.2237s,277.370046,59.214647,0.004887,SA(s)bc        HII,1465,4,1926,40,'2007-02-18,,done,10,,Brown  P. J.  et al. 2009  AJ  137  4517,x,,,,,31.54252564,0.765953013,HF,,31.54252564,0.765953013,,0,,,ref,,,ref,,,,end
SN2007af,NGC 5584,,Ia,0.005464,,56,,'14:22:21.03,-00:23:37.6,0.105,0.0105,S_F_2011,14h22m23.811s,-0d23m14.82s,345.114111,54.8559,0.005464,SAB(rs)cd,1638,4,2013,26,'2007-03-01,,done,7,,Brown  P. J.  et al. 2009  AJ  137  4517,54157.12,Brown_etal_2012,,,,31.773,0.047,Cepheid,Cepheids_Riess_etal_2016,31.784907,0.702440995,,36,31.773,0.047,Cepheids_Riess_etal_2016,,,ref,,,,end
SN2007ax,NGC 2577,,Ia-91bg,0.006861,,12,,'08:22:43.26,+22:33:16.9,0.12,0,"Brown_walker_2020,S_F_2011",8h22m43.45s,22d33m11.1408s,201.120318,29.582928,0.006878,S0-:,2062,5,2317,19,'2007-03-21,,done,6,,Kasliwal  M. M.  et al. 2008  ApJL  683  29,,,,,,32.28478082,0.59657551,HF,,32.28478082,0.59657551,,0,,,ref,,,ref,,,,end
SN2007bb,UGC 3627,,II,0.020858,,2,,'07:01:07.46,+51:15:57.3,0.196,0.0196,S_F_2011,7h01m05.0552s,51d16m11.0524s,165.427913,22.280687,0.020858,Sd,6253,39,6354,40,'2007-04-02,,skip,5,,,x,,,,,34.69377966,0.383550804,HF,,34.69377966,0.383550804,,1,,,ref,,,ref,,,,end
SN2007bg,A114926+5149,,Ic-bl,0.034,,4,,'11:49:26.18,+51:49:21.8,0.056,0.0056,S_F_2011,,,,,,,,,,,'2007-04-16,,done,10,,,16-Apr-07,Salas_etal_2013,https://ui.adsabs.harvard.edu/abs/2013MNRAS.428.1207S/abstract,,,,,,,,,,1,,,ref,,,ref,,,,end
SN2007bm,NGC 3672,,Ia,0.006211,,4,,'11:25:02.30,-09:47:53.8,0.11,0.011,S_F_2011,11h25m02.476s,-9d47m43.44s,270.422957,47.548979,0.006211,SA(s)c         HII,1862,4,2080,30,'2007-04-20,,done,10,,Brown  P. J.  et al. 2009  AJ  137  4517,,,,,,32.0632359,0.639616125,HF,,32.0632359,0.639616125,,1,,,ref,,,ref,,,,end
SN2007C,NGC 4981,,Ib,0.005604,,3,,'13:08:49.30,-06:47:01.0,0.113,0.0113,S_F_2011,13h08m48.7428s,-6d46m38.9295s,310.628117,55.834381,0.005604,SAB(r)bc       LINER,1680,4,1966,31,'2007-01-07,,GI12,6000,all,,,,,,,31.83988393,0.689212148,HF,,31.83988393,0.689212148,,0,,,ref,,,ref,,,,end
SN2007ch,NGC 6000,,IIP,0.007315,,1,,'15:49:47.82,-29:23:13.7,0.459,0.0459,S_F_2011,15h49m49.556s,-29d23m12.5s,343.300394,19.173618,0.007315,SB(s)bc:;HII   Sbrst,2193,1,2266,14,'2007-05-11,,skip,2,,,x,,,,,32.41853068,0.573150192,HF,,32.41853068,0.573150192,,,,,ref,,,ref,,,,end
SN2007ck,MCG +05-43-16,,II ,0.016962,,11,,'18:23:05.59,+29:54:01.0,0.298,0.0298,S_F_2011,18h23m04.1773s,29d54m04.9649s,57.587344,18.818466,0.026962,,8083,33,8487,37,'2007-05-19,,done,7,,Pritchard  T. A.  et al. 2013  arXiv1303.1190,x,,,,,35.25120041,0.369168971,HF,,35.25120041,0.369168971,,0,,,ref,,,ref,,,,end
SN2007co,MCG +05-43-16,,Ia,0.016962,,11,,'18:23:03.60,+29:53:49.6,0.308,0.0308,S_F_2011,18h23m04.1773s,29d54m04.9649s,57.587344,18.818466,0.026962,,8083,33,8487,37,'2007-06-04,,done,7,,Brown  P. J.  et al. 2009  AJ  137  4517,,,,,,35.25120041,0.369168971,HF,,35.25120041,0.369168971,,0,,,ref,,,ref,,,,end
SN2007cq,2MASX J22144070+0504435,,Ia-91T,0.025,,13,,'22:14:40.41,+05:04:48.6,0.294,0.0294,S_F_2011,22h14m40.7021s,5d04m42.8412s,67.322166,-40.294434,0.02604,,7501,50,7501,50,'2007-06-21,,done,5,,Brown  P. J.  et al. 2009  AJ  137  4517,,,,,,35.08893335,0.373426197,HF,,35.08893335,0.373426197,,8,,,ref,,,ref,,,,end
SN2007cv,IC 2597,,Ia,0.007562,,21,,'10:37:45.4,-27:04:57,0.19,0.019,S_F_2011,10h37m47.344s,-27d04m52.46s,269.550524,26.991627,0.007562,E+4,2267,12,2281,28,'2007-06-29,,done,10,,Brown  P. J.  et al. 2009  AJ  137  4517,,,,,,33.07,0.2,SBF,SBF_Mieske,32.49059512,0.56199929,,9,,,ref,33.07,0.2,SBF_Mieske,,,,end
SN2007D,UGC 2653,,Ic-bl,0.023146,,4,,'03:18:38.71,+37:36:26.4,0.899,0.0899,S_F_2011,3h18m38.202s,37d36m29.07s,152.620013,-16.635999,0.023146,Sd,6939,5,6797,19,'2007-01-09,,done,3000,w1_ubv,,x,,,,,34.91982196,0.375958514,HF,,34.91982196,0.375958514,,0,,,ref,,,ref,,,,end
SN2007fo,NGC 7714,,Ib,0.009333,,3,,'23:36:13.98,+02:09:30.4,0.14,0.014,S_F_2011,23h36m14.099s,2d09m18.07s,88.2156803,-55.564073,0.009333,SB(s)b:pec;HII LINER,2798,1,2814,16,'2007-07-09,,done,5,,,,,,,,32.94757607,0.498296996,HF,,32.94757607,0.498296996,,0,,,ref,,,ref,,,,end
SN2007gi,NGC 4036,,Ia,0.00482,,5,,'12:01:23.42,+61:53:33.8,0.063,0.0063,S_F_2011,12h01m26.891s,61d53m44.52s,132.979841,54.246531,0.00462,S0-            LINER,1385,5,1857,21,'2007-07-31,,done,4,,Zhang  T.  et al. 2010  PASP  122  1 and Milne  P. A.  et al. 2010  ApJ  721  1627,,,,,,31.42058638,0.801376548,HF,,31.42058638,0.801376548,,3,,,ref,,,ref,,,,end
SN2007I,A115913-0136,,Ic-bl,0.021639,,2,,'11:59:13.15,-01:36:18.9,0.078,0.0078,S_F_2011,,,,,,,,,,,'2007-01-14,,done,8,,,x,,,,,,,,,,,,0,,,ref,,,ref,,,,end
SN2007od,UGC 12846,,II,0.005784,,12,,'23:55:48.68,+18:24:54.8,0.09,0,"Brown_walker_2020,S_F_2011",23h55m46.0248s,18d25m33.6036s,104.904876,-42.489619,0.005784,Sm:,1734,3,1794,17,'2007-11-02,,done,9,,Inserra  C.   et al. 2011  MNRAS  417  261,245 4403 pm 1.5,Inserra_etal_2012,https://ui.adsabs.harvard.edu/abs/2012MNRAS.422.1178I/abstract,spectral fitting,,31.90858298,0.673217986,HF,Inserra_etal_2012,31.90858298,0.673217986,,10,,,ref,,,A10,,,,end
SN2007on,NGC 1404,,Ia,0.006494,,13,,'03:38:50.90,-35:34:30.0,0.031,0.0031,S_F_2011,3h38m51.917s,-35d35m39.81s,236.955314,-53.554692,0.006494,NELG           ALG,1947,4,1886,13,'2007-11-05,,done,13,,Milne  P. A.  et al. 2010  ApJ  721  1627,,,,,,31.45,0.19,SBF,SBF_Jensen_etal_2003,32.16016728,0.620052194,,23,,,ref,31.45,0.19,SBF_Jensen_etal_2003,,,,end
SN2007pk,NGC 579,,IIn,0.016655,,16,,'01:31:47.07,+33:36:54.1,0.14,0.014,S_F_2011,1h31m46.5057s,33d36m55.9871s,132.4833428,-28.5069074,0.016655,Scd:,4993,4,4886,21,'2007-11-10,,done,12,,Pritchard  T. A.  et al. 2012  ApJ  750  128,x,,,,,34.20514535,0.400863508,HF,,34.20514535,0.400863508,,9,,,ref,,,ref,,,,end
SN2007S,UGC 5378,,Ia,0.01388,,33,,'10:00:31.26,+04:24:26.2,0.065,0,"Brown_walker_2020,S_F_2011",10h00m31.9918s,4d24m25.6711s,234.366878,43.384852,0.01388,Sb             HII,4161,10,4561,33,'2007-01-29,,done,5,,Brown  P. J.  et al. 2009  AJ  137  4517,,,,,,33.8093261,0.422450774,HF,,33.8093261,0.422450774,,0,,,ref,,,ref,,,,end
SN2007sr,NGC 4038,,Ia,0.005688,,37,,'12:01:52.80,-18:58:21.7,0.11,0,"Brown_walker_2020,S_F_2011",12h01m53.002s,-18d52m03.32s,286.9586941,42.4619738,0.005477,SB(s)m pec,1642,12,1702,31,'2007-12-18,,done,11,,Milne  P. A.  et al. 2010  ApJ  721  1627,,,,,,31.378,0.1183,Cepheid,Cepheids_Riess_etal_2016,31.79020328,0.701994175,,20,31.378,0.1183,Cepheids_Riess_etal_2016,,,ref,,,,end
SN2007uy,NGC 2770,,Ib ,0.006494,,41,,'09:09:35.40,+33:07:09.9,0.06,0.006,S_F_2011,9h09m33.622s,33d07m24.29s,191.569968,42.196854,0.006494,SA(s)c:,1947,2,2284,20,'2007-12-31,,done,30,,Roy  R. 2013  MNRAS  434  2032,,,,,,32.16016728,0.619988375,HF,,32.16016728,0.619988375,,9,,,ref,,,ref,,,,end
SN2007Y,NGC 1187,,Ibc,0.004637,,20,,'03:02:35.92,-22:53:50.1,0.058,0.0058,S_F_2011,3h02m37.5891s,-22d52m02.4631s,212.090907,-60.056203,0.004637,SB(r)c         HII,1390,3,1325,8,'2007-02-15,,done,10,,Stritzinger  M.  et al.  2009  696  713,54145,Stritzinger_etal_2009,https://ui.adsabs.harvard.edu/abs/2009ApJ...696..713S/abstract,,,31.42841152,0.798906302,HF,Stritzinger_etal_2009,31.42841152,0.798906302,,3,,,ref,,,ref,,,,end
SN2008A,NGC 634,,Ia-02cx,0.016428,,17,,'01:38:17.38,+35:22:13.7,0.12,0,"Brown_walker_2020,S_F_2011",1h38m18.679s,35d21m53.47s,133.600254,-26.533974,0.016428,Sa,4925,8,4823,23,'2008-01-02,,done,5,,Milne  P. A.  et al. 2010  ApJ  721  1627,,,,,,34.17536869,0.402314288,HF,,34.17536869,0.402314288,,5,,,ref,,,ref,,,,end
SN2008ae,IC 577,,Ia-02cx,0.030002,,6,,'09:56:03.20,+10:29:58.8,0.074,0.0074,S_F_2011,9h56m03.9718s,10d29m55.8492s,226.247629,45.580784,0.030002,S?,8994,29,9369,40,'2008-02-09,,done,3,,,,,,,,35.48310193,0.36494567,HF,,35.48310193,0.36494567,,0,,,ref,,,ref,,,,end
SN2008am,A122836+1534,,IIn,0.234,,6,,'12:28:36.25,+15:34:49.1,0.067,0.0067,S_F_2011,,,,,,,,,,,'2008-01-10,,done,5,,Chatzopoulos  E.  et al. 2011  ApJ  729  143,x,,,,,,,,,,,,2,,,ref,,,ref,,,,end
SN2008aq,MCG -02-33-20,,IIb,0.007972,,7,,'12:50:30.36,-10:52:01.3,0.119,0.0119,S_F_2011,12h50m29.414s,-10d51m15.89s,302.553779,52.016643,0.007972,SB(s)m,2390,5,2572,26,'2008-02-27,,done,7,,Pritchard  T. A.  et al. 2013  arXiv1303.1190,x,,,,,32.60532702,0.543819503,HF,,32.60532702,0.543819503,,0,,,ref,,,ref,,,,end
SN2008aw,NGC 4939,,II,0.010374,,9,,'13:04:14.11,-10:19:12.9,0.109,0.0109,S_F_2011,13h04m14.3282s,-10d20m22.3165s,308.096879,52.403713,0.010374,SA(s)bc        Sy2,3110,4,3403,27,'2008-03-02,,done,7,,Pritchard  T. A.  et al. 2013  arXiv1303.1190,54526.5,,,discover - 1.5 days,,33.17713946,0.47328088,HF,,33.17713946,0.47328088,,6,,,ref,,,ref,,,,end
SN2008ax,NGC 4490,,IIb,0.001885,,20,,'12:30:40.80,+41:38:16.1,0.058,0.0058,S_F_2011,12h30m36.368s,41d38m37.07s,137.9960108,74.8694123,0.001885,SB(s)d pec     HII,565,3,673,5,'2008-03-03,,done,15,,Roming  P. W. A.  et al. 2009  ApJL  704  118,"JD = 2,454,528.80",Folatelli_etal_2015,https://ui.adsabs.harvard.edu/abs/2015ApJ...811..147F/abstract,,,29.47357976,1.80384446,HF,Folatelli_etal_2015,29.47357976,1.80384446,,1,,,ref,,,ref,,,,end
SN2008bo,NGC 6643,,Ib,0.00495,,46,,'18:19:54.41,+74:34:21.0,0.16,0.016,S_F_2011,18h19m46.37s,74d34m06.23s,105.535697,28.174695,0.00495,SA(rs)c,1484,1,1882,18,'2008-03-31,,done,24,,Pritchard  T. A.  et al. 2013  arXiv1303.1190,x,,,,,31.57050702,0.758059655,HF,,31.57050702,0.758059655,,0,,,ref,,,ref,,,,end
SN2008cg,PGC 91487,,Ia-CSM?,0.036,,2,,'15:54:15.15,+10:58:25.0,0.145,0.0145,S_F_2011,15h54m15.3137s,10d58m10.0164s,21.407443,44.182397,0.036168,Scd,10843,5,11456,27,'2008-05-05,,done,7,,,,,,,,35.88908481,0.359268857,HF,,35.88908481,0.359268857,,0,,,ref,,,ref,,,,end
