SNname,HostName,PSN,type,redshift,OtherName,Nobs,targetids,SNra,SNdec,AV,AVerr,AVsour,HostRa,HostDec,Long,Lat,Morphology,host_velocity,host_vel_err,host_vel_corr,host_vel_corr_err,Discover_date,Last_non-detection_date,template_status,max_ks,filters_used,notes,Explosion_Date,ExpDateReference,ExpDateReferenceLinks,ExpDateMethod,other_SNe,UVM2_DatPoints,best_dm,best_dm_err,best_dm_method,best_dm_ref,Hubble_dm,Hubble_dm_err,Hubble_dm_ref,Cep_dm,Cep_dm_err,Cep_dm_ref,SBF_dm,SBF_dm_err,SBF_dm_ref,TRGB_dm,TRGB_dm_err,TRGB_dm_ref,end
SN2017cbv,,,Ia,0.003999,,,,['218.143417'],['-44.134094'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2017cyy,,,Ia,0.0098,,,,['144.15120833333'],['-63.948472222222'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2016iyd,,,II,0.034,,,,['114.29066666667'],['-52.317805555556'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2016blz,,,II,0.011,,,,['235.12179166667'],['0.91011111111111'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2016gdw,,,II,0.065,,,,['336.77133333333'],['23.279333333333'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2017cyy,,,Ia,0.0098,,,,['144.15120833333'],['-63.948472222222'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2017cbv,,,Ia,0.003999,,,,['218.143417'],['-44.134094'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2017bzc,,,Ia,0.005365,,,,['349.06041666667'],['-42.569444444444'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2017ckq,,,Ia,0.01,,,,['161.10575'],['-32.209111111111'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2017cjb,,,II,0.0094,,,,['193.460208'],['9.704917'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2017awz,,,Ia-91T-like,0.022,,,,['166.897875'],['22.851222222222'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2017cbv,,,Ia,0.003999,,,,['218.143417'],['-44.134094'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2017cbv,,,Ia,0.003999,,,,['218.14325'],['-44.134194444444'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
